55 68
996708 376142
332901 864402
848752 542414
532589 573889
394105 699809
427557 742122
418255 377926
981641 569320
230824 987227
525165 479517
871165 24739
531688 629826
259525 79419
222720 822611
193209 924387
513641 189917
300529 846543
570671 665633
905309 103261
239522 299415
803070 183431
557889 221325
561357 539531
306997 308533
526758 832163
788050 914275
856902 836090
544101 632780
431861 283173
455391 141423
207560 969032
331340 24441
331927 418364
690074 237237
521625 929596
53004 841047
113027 610893
578724 190736
150424 885722
499270 193534
717885 803672
624161 91139
156115 168262
723919 587976
451435 179310
729399 175347
664695 577092
199788 996622
995456 889862
750211 33433
335810 319567
874480 965189
930461 453204
155926 597237
338926 171548
307124 573163
491572 1422857 664303
647687 1263587 388222
752016 819351 83885
997767 1240450 748580
91211 1050034 261554
603019 968057 11766
636452 1337300 847685
27284 209674 294498
480489 1335157 891736
335767 361983 715212
908931 943071 162849
573234 771414 778749
477808 944356 846085
561693 1026008 605120
310273 382152 563943
88180 763078 928981
99946 927649 146182
463983 1318970 328572
758482 1610310 183240
650218 837814 725808
881782 1494661 759948
44631 747096 958128
823381 1003654 424676
185818 927785 405344
790938 1359530 993575
871233 1528005 668473
316567 589637 12528
462749 1199803 383868
791321 1286857 752048
490913 1153019 455996
216721 760609 68875
493021 597892 771340
967502 1895754 951614
392178 1022600 209933
313874 735234 778525
307449 1116395 951650
492275 617788 224720
504803 1093065 961774
405023 1300958 973662
157072 543920 635768
613068 732989 696008
198296 811238 800880
969636 1066432 245484
437602 926577 875907
163887 483088 813619
458765 1085416 622565
410415 1045693 748078
635135 1291568 852692
113262 174719 748627
86924 821805 651827
239045 1103346 288100
935053 997650 417395
252285 800871 514191
14122 516662 3166
890029 1556457 838720
220000 345193 465371
358918 894526 617001
623348 1310443 273434
476041 792750 334891
741020 1144654 69772
392848 551879 934074
680948 1291384 513023
98343 961065 577961
612535 1489379 80502
132053 415278 746930
970773 990350 388475
952496 1330991 440435
569497 571341 127530
842932 1837169 444240
0 0
